,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
588,5709,0,9609.547511379573,14160.851735544553,6840.0,734407406,3.216,734407406.0,126.97053170028487,5-6
589,5759,0,9494.39443049863,14325.59628921364,6900.0,734407406,3.216,734407406.0,124.95276307588132,5-6
590,5808,0,9379.241349617689,14490.340842882726,6960.0,734407406,3.216,734407406.0,124.95276307588132,5-6
591,5858,0,9264.088268736745,14655.085396551814,7020.0,734407406,3.216,734407405.0,124.95276307588144,5-6
592,5908,0,9152.409266268884,14821.75945250299,7080.0,734407405,3.216,734407405.0,123.82383730855939,5-6
593,5957,0,9073.411415795385,15006.58461210137,7140.0,734407405,3.216,734407405.0,113.14280106729387,5-6
594,6006,0,8994.413565321882,15191.40977169975,7200.0,734407405,3.216,734407399.0,113.14280106729463,11-12
595,6056,0,8933.5076992233,15381.630102334066,7260.0,734407399,3.216,734407399.0,107.75433255526343,11-12
596,6106,0,8898.372338590174,15579.535398961469,7320.0,734407399,3.216,734407399.0,100.06718186707757,11-12
597,6156,0,8863.236977957049,15777.44069558887,7380.0,734407399,3.216,734407399.0,100.06718186707714,11-12
598,6206,0,8828.101617323922,15975.345992216273,7440.0,734407399,3.216,734407399.0,100.06718186707757,11-12
599,6256,0,8792.966256690797,16173.251288843676,7500.0,734407399,3.216,734407399.0,100.06718186707704,11-12
600,6305,0,8757.83089605767,16371.15658547108,7560.0,734407399,3.216,734407398.0,100.06718186707745,11-12
601,6355,0,8732.856732688806,16570.546425607394,7620.0,734407398,3.216,734407398.0,97.13928525002112,11-12
602,6405,0,8709.904407491282,16770.23165482585,7680.0,734407398,3.216,734407398.0,96.55694649816355,11-12
603,6454,0,8686.952082293757,16969.916884044305,7740.0,734407398,3.216,734407398.0,96.55694649816355,11-12
604,6503,0,8663.999757096235,17169.60211326276,7800.0,734407398,3.216,318603529.0,96.55694649816304,11-12
605,6552,0,8704.502712456504,17310.49921186816,7860.0,318603529,2.144,318603529.0,73.96191988988099,11-12
606,6601,0,8814.527988620906,17386.987371768544,7920.0,318603529,2.144,302803029.0,34.806530912907895,11-12
607,6651,0,8814.15350252239,17468.5843655222,7980.0,302803029,1.424,302803029.0,90.26295481364355,11-12
608,6700,0,8781.647239171643,17551.43569528203,8040.0,302803029,1.424,302803119.0,111.42228661919347,11-12
609,6750,0,8746.08460249867,17632.126677834487,8100.0,302803119,1.424,302703115.0,113.78434847136899,11-12
610,6799,0,8722.944499891326,17715.388500760717,8160.0,302703115,1.424,311303114.0,105.5316608990939,11-12
611,6849,0,8623.722009225685,17771.608326472942,8220.0,311303114,2.144,311203113.0,150.46395066036604,11-12
612,6899,0,8494.4931420034,17788.943682444824,8280.0,311203113,2.144,311103112.0,172.35969070062453,11-12
613,6948,0,8363.156216248886,17763.489156601496,8340.0,311103112,2.144,311103112.0,-169.03144110235624,11-12
614,6997,0,8232.744145474056,17732.68831576523,8400.0,311103112,2.144,311103112.0,-166.71134586523823,11-12
615,7047,0,8102.3320746992285,17701.887474928964,8460.0,311103112,2.144,310903110.0,-166.71134586523806,11-12
616,7097,0,7984.948251869761,17735.544971589374,8520.0,310903110,2.144,305803108.0,164.00079961937658,11-12
617,7147,0,7893.406674494833,17832.74401134775,8580.0,305803108,2.144,305803106.0,133.28308451443925,11-12
618,7197,0,7801.677532640584,17928.025948789338,8640.0,305803106,2.144,281203105.0,133.9116382337383,11-12
619,7247,0,7678.749740174463,17976.54874516535,8700.0,281203105,2.144,305103105.0,158.4595613159793,11-12
620,7297,0,7546.9261986635165,18000.52609797518,8760.0,305103105,2.144,305103103.0,169.6911834868049,11-12
621,7347,0,7414.527580278092,18010.38341947364,8820.0,305103103,2.144,305103103.0,175.74207920068505,11-12
622,7395,0,7280.929488702879,18000.0127913605,8880.0,305103103,2.144,310203103.0,-175.5612836322964,11-12
623,7444,0,7147.124720081137,17992.96954653228,8940.0,310203103,2.144,308803101.0,-176.986833051123,11-12
624,7494,0,7013.878396449366,17980.99564035777,9000.0,308803101,2.144,308803101.0,-174.86502548915084,11-12
625,7544,0,6881.673583781838,17959.135002042665,9060.0,308803101,2.144,232103101.0,-170.61085243866776,11-12
626,7594,0,6749.1722461863765,17940.344030062828,9120.0,232103101,2.144,232103101.0,-171.9282973854559,11-12
627,7643,0,6615.227536296752,17936.495044146457,9180.0,232103101,2.144,25503099.0,-178.3540225024349,11-12
628,7693,0,6481.978006362902,17923.051385154937,9240.0,25503099,2.144,25503099.0,-174.23887447475366,11-12
629,7743,0,6348.147062634316,17929.78031528654,9300.0,25503099,2.144,25500256.0,177.12163050026592,11-12
630,7792,0,6216.823953335757,17910.462388471187,9360.0,25500256,2.144,25600452.0,-171.63167757093052,11-12
631,7842,0,6088.3800896649645,17872.99621523876,9420.0,25600452,2.144,25700258.0,-163.73840590892652,11-12
632,7892,0,5963.000135839501,17825.728850397154,9480.0,25700258,2.144,25800259.0,-159.3439082631756,11-12
633,7942,0,5833.2260357101,17794.0,9540.0,25800259,2.144,25900448.0,-166.2611101673551,11-12
634,7992,0,5699.246986791914,17794.605977837484,9600.0,25900448,2.144,26000261.0,179.74085697655516,11-12
635,8042,0,5565.611284469448,17804.356859320014,9660.0,26000261,2.144,26000261.0,175.82674381328866,11-12
636,8091,0,5432.407821610386,17818.945810014102,9720.0,26000261,2.144,26100262.0,173.74966042221962,11-12
637,8141,0,5299.071568050442,17819.79644112454,9780.0,26100262,2.144,26200263.0,179.63448117018459,11-12
638,8191,0,5165.610244476036,17807.793477917683,9840.0,26200263,2.144,26200263.0,-174.86087905751003,11-12
639,8241,0,5032.1078400713,17796.256233092583,9900.0,26200263,2.144,26300264.0,-175.06078445787404,11-12
640,8290,0,4898.347653410283,17788.45907039612,9960.0,26300264,2.144,26400484.0,-176.66388372425095,11-12
641,8340,0,4764.547787701525,17792.858456238806,10020.0,26400484,2.144,26500328.0,178.1167734282225,11-12
642,8390,0,4631.271608240635,17805.89647157808,10080.0,26500328,2.144,26600328.0,174.4127014370108,11-12
643,8439,0,4504.013724453871,17847.865584758783,10140.0,26600328,2.144,26600267.0,161.747662491601,11-12
644,8489,0,4376.619632022129,17889.406820604865,10200.0,26600267,2.144,26600267.0,161.93965653964813,11-12
645,8539,0,4248.692563881719,17929.28996537805,10260.0,26600267,2.144,26700268.0,162.68436448999623,11-12
646,8589,0,4117.025689653956,17953.81802280333,10320.0,26700268,2.144,26800269.0,169.44740194990467,11-12
647,8639,0,3983.678366368388,17941.004125268322,10380.0,26800269,2.144,26900440.0,-174.51106453080274,11-12
648,8689,0,3889.939850196968,17950.32449035329,10440.0,26900440,0.944,26900440.0,174.32177756428177,11-12
649,8739,0,3883.348240989614,18008.955119618695,10500.0,26900440,0.944,26900440.0,96.41460180734047,11-12
650,8789,0,3876.7566317822607,18067.585748884103,10560.0,26900440,0.944,43900440.0,96.41460180733964,11-12
651,8839,0,3867.237081703079,18125.71217506985,10620.0,43900440,0.944,43900440.0,99.30094340713751,11-12
652,8889,0,3853.837713873557,18183.17048118628,10680.0,43900440,0.944,43900440.0,103.12686301872648,11-12
653,8938,0,3840.4383460440336,18240.628787302703,10740.0,43900440,0.944,43900440.0,103.12686301872894,11-12
654,8988,0,3827.038978214511,18298.087093419133,10800.0,43900440,0.944,43800439.0,103.12686301872648,12-1
655,9037,0,3813.5260692105226,18355.51444049269,10860.0,43800439,0.944,43800439.0,103.24107961604368,12-1
656,9086,0,3795.905214698016,18411.821682355963,10920.0,43800439,0.944,43800439.0,107.3770504003986,12-1
657,9136,0,3778.2843601855097,18468.12892421924,10980.0,43800439,0.944,43800439.0,107.37705040039756,12-1
658,9186,0,3760.6635056730033,18524.43616608251,11040.0,43800439,0.944,43800439.0,107.37705040039967,12-1
659,9236,0,3743.042651160497,18580.74340794578,11100.0,43800439,0.944,43800439.0,107.3770504003986,12-1
660,9286,0,3725.42179664799,18637.05064980905,11160.0,43800439,0.944,43800439.0,107.3770504004001,12-1
661,9335,0,3707.800942135484,18693.357891672327,11220.0,43800439,0.944,43800439.0,107.37705040039712,12-1
662,9385,0,3690.180087622977,18749.6651335356,11280.0,43800439,0.944,43700438.0,107.37705040039904,12-1
663,9435,0,3676.315736173446,18806.871369768,11340.0,43700438,0.944,43700438.0,103.62337454399356,12-1
664,9485,0,3666.536917202828,18865.055342643176,11400.0,43700438,0.944,43700446.0,99.54038180484271,12-1
665,9535,0,3636.987826346905,18889.14379907092,11460.0,43700446,0.944,43700446.0,140.81303725169238,12-1
666,9584,0,3581.632772859433,18868.727676682,11520.0,43700446,0.944,43700446.0,-159.75495178195575,12-1
667,9634,0,3526.277719371961,18848.31155429308,11580.0,43700446,0.944,43700446.0,-159.7549517819556,12-1
668,9684,0,3470.92266588449,18827.89543190417,11640.0,43700446,0.944,43700446.0,-159.7549517819654,12-1
669,9734,0,3415.5676123970184,18807.47930951525,11700.0,43700446,0.944,38100446.0,-159.7549517819556,12-1
670,9784,0,3358.3915428776377,18808.300382293142,11760.0,38100446,0.944,38100446.0,179.1772646876971,12-1
671,9834,0,3300.368871871251,18818.99475694922,11820.0,38100446,0.944,38100446.0,169.556805936503,12-1
672,9883,0,3242.346200864864,18829.6891316053,11880.0,38100446,0.944,38100446.0,169.55680593650308,12-1
673,9932,0,3184.323529858477,18840.38350626138,11940.0,38100446,0.944,37400381.0,169.55680593650308,12-1
674,9982,0,3145.336865694501,18864.81885028014,12000.0,37400381,0.9440000000000002,37400381.0,147.9220937492796,12-1
675,10032,0,3153.4565161709625,18923.2574614558,12060.0,37400381,0.9440000000000002,37400381.0,82.08978168510315,12-1
676,10082,0,3161.576166647424,18981.69607263146,12120.0,37400381,0.9440000000000002,37400381.0,82.08978168510315,12-1
677,10132,0,3169.6958171238857,19040.13468380712,12180.0,37400381,0.9440000000000002,37400381.0,82.08978168510266,12-1
678,10181,0,3177.815467600348,19098.573294982783,12240.0,37400381,0.9440000000000002,37400381.0,82.0897816851032,12-1
679,10230,0,3185.935118076809,19157.011906158445,12300.0,37400381,0.9440000000000002,37400381.0,82.08978168510359,12-1
680,10280,0,3194.054768553271,19215.450517334102,12360.0,37400381,0.9440000000000002,37400381.0,82.08978168510222,12-1
681,10330,0,3202.1744190297327,19273.889128509767,12420.0,37400381,0.9440000000000002,37400381.0,82.08978168510363,12-1
682,10380,0,3210.2940695061943,19332.32773968543,12480.0,37400381,0.9440000000000002,37400381.0,82.08978168510315,12-1
683,10446,0,3205.8803495235384,19300.56138882434,12600.0,37400381,0.9440000000000002,37400381.0,-97.9102183148964,12-1
684,10496,0,3197.7606990470767,19242.12277764868,12660.0,37400381,0.9440000000000002,37400381.0,-97.91021831489735,12-1
685,10546,0,3189.6410485706147,19183.684166473016,12720.0,37400381,0.9440000000000002,37400381.0,-97.91021831489681,12-1
686,10596,0,3181.521398094153,19125.245555297355,12780.0,37400381,0.9440000000000002,37400381.0,-97.91021831489687,12-1
687,10646,0,3173.4017476176914,19066.80694412169,12840.0,37400381,0.9440000000000002,37400381.0,-97.91021831489638,12-1
688,10696,0,3165.2820971412298,19008.36833294604,12900.0,37400381,0.9440000000000002,37400381.0,-97.91021831489832,12-1
689,10746,0,3157.162446664768,18949.92972177037,12960.0,37400381,0.9440000000000002,37400381.0,-97.91021831489589,12-1
690,10796,0,3149.0427961883065,18891.49111059471,13020.0,37400381,0.9440000000000002,38100446.0,-97.91021831489687,12-1
691,10873,0,3157.841110887615,18845.26457956189,13080.0,38100446,0.944,38100446.0,-79.22376240821544,12-1
692,10923,0,3215.863781894002,18834.570204905813,13140.0,38100446,0.944,38100446.0,-10.443194063493442,12-1
693,10972,0,3273.886452900389,18823.875830249734,13200.0,38100446,0.944,38100446.0,-10.443194063496914,12-1
694,11022,0,3331.909123906776,18813.18145559365,13260.0,38100446,0.944,38100446.0,-10.443194063500389,12-1
695,11072,0,3389.931794913163,18802.48708093757,13320.0,38100446,0.944,43700446.0,-10.443194063496996,12-1
696,11122,0,3445.657787636325,18818.577206846858,13380.0,43700446,0.944,43700446.0,16.10535714062415,12-1
697,11172,0,3501.0128411237965,18838.99332923577,13440.0,43700446,0.944,43700446.0,20.245048218037766,12-1
698,11222,0,3556.367894611268,18859.409451624688,13500.0,43700446,0.944,43700446.0,20.245048218041084,12-1
699,11272,0,3611.7229480987394,18879.825574013605,13560.0,43700446,0.944,43700438.0,20.245048218041237,12-1
700,11322,0,3662.073717275481,18891.611382210885,13620.0,43700438,0.944,43700438.0,13.174264043124564,12-1
701,11372,0,3671.8525362461,18833.427409335705,13680.0,43700438,0.944,43800439.0,-80.45961819515702,12-1
702,11422,0,3682.137664829765,18775.364604867293,13740.0,43800439,0.944,43800439.0,-79.95493991121944,12-1
703,11472,0,3699.758519342272,18719.05736300402,13800.0,43800439,0.944,43800439.0,-72.62294959960097,12-1
704,11521,0,3717.3793738547774,18662.750121140747,13860.0,43800439,0.944,43800439.0,-72.62294959960224,12-1
705,11571,0,3735.0002283672848,18606.442879277474,13920.0,43800439,0.944,43800439.0,-72.62294959960056,12-1
706,11621,0,3752.621082879791,18550.1356374142,13980.0,43800439,0.944,43800439.0,-72.6229495996014,12-1
707,11671,0,3770.2419373922976,18493.82839555093,14040.0,43800439,0.944,43800439.0,-72.6229495996014,12-1
708,11721,0,3787.862791904804,18437.521153687656,14100.0,43800439,0.944,43800439.0,-72.6229495996014,12-1
709,11771,0,3805.483646417311,18381.213911824383,14160.0,43800439,0.944,43900440.0,-72.62294959960097,12-1
710,11821,0,3820.92330538092,18324.311927773346,14220.0,43900440,0.944,43900440.0,-74.81900698989209,12-1
711,11871,0,3834.322673210443,18266.853621656912,14280.0,43900440,0.944,43900440.0,-76.87313698127346,12-1
712,11919,0,3847.722041039966,18209.395315540485,14340.0,43900440,0.944,43900440.0,-76.8731369812723,12-1
713,11969,0,3861.1214088694887,18151.93700942406,14400.0,43900440,0.944,26900440.0,-76.8731369812723,1-2
714,12019,0,3873.748122285997,18094.345649140345,14460.0,26900440,0.944,26900440.0,-77.6337584949876,1-2
715,12068,0,3880.33973149335,18035.71501987494,14520.0,26900440,0.944,26900440.0,-83.5853981926604,1-2
716,12118,0,3886.931340700704,17977.084390609532,14580.0,26900440,0.944,26800269.0,-83.58539819265994,1-2
717,12168,0,3922.811609941468,17935.026140262107,14640.0,26800269,2.144,26800269.0,-49.53220890793148,1-2
718,12218,0,4056.169963167088,17948.123835668197,14700.0,26800269,2.144,26700268.0,5.609274446446686,1-2
719,12268,0,4188.7460287551385,17941.093446511186,14760.0,26700268,2.144,26600267.0,-3.0355002679731626,1-2
720,12317,0,4318.231795725598,17907.610087214962,14820.0,26600267,2.144,26600328.0,-14.498367141081987,1-2
721,12366,0,4445.955030246639,17867.09281465858,14880.0,26600328,2.144,26500328.0,-17.600438547414534,1-2
722,12415,0,4573.1680335074725,17824.98764613326,14940.0,26500328,2.144,26500484.0,-18.313595527219984,1-2
723,12465,0,4703.621250684149,17798.037874931586,15000.0,26500484,2.144,26400484.0,-11.672289582450029,1-2
724,12515,0,4837.276025577216,17788.817998579045,15060.0,26400484,2.144,26300264.0,-3.946169954978929,1-2
725,12564,0,4971.091745881899,17792.203251626273,15120.0,26300264,2.144,26200263.0,1.4491522407446977,1-2
726,12614,0,5104.677740926269,17802.527706005974,15180.0,26200263,2.144,26100262.0,4.419430642246001,1-2
727,12663,0,5238.158156158583,17814.314234054273,15240.0,26100262,2.144,26000261.0,5.046218111133865,1-2
728,12711,0,5371.6117594743455,17825.604426343285,15300.0,26000261,2.144,26000261.0,4.835715675298115,1-2
729,12758,0,5504.815222333407,17811.015475649197,15360.0,26000261,2.144,25900448.0,-6.250339577780403,1-2
730,12807,0,5638.233414311683,17798.829994393807,15420.0,25900448,2.144,25800259.0,-5.218516050772927,1-2
731,12857,0,5772.066422053141,17794.0,15480.0,25800259,2.144,25700258.0,-2.0668910069277024,1-2
732,12906,0,5903.972526268338,17809.72136305582,15540.0,25700258,2.144,25600452.0,6.796793202241852,1-2
733,12956,0,6031.07185215484,17851.635872166804,15600.0,25600452,2.144,25500256.0,18.251397364326998,1-2
734,13006,0,6157.44955092534,17895.79341846391,15660.0,25500256,2.144,25500256.0,19.259890787117683,1-2
735,13056,0,6287.538173911442,17927.932960613416,15720.0,25500256,2.144,25503099.0,13.877529803207885,1-2
736,13106,0,6420.895552528674,17926.122569984593,15780.0,25503099,2.144,25402321.0,-0.7777700188659588,1-2
737,13156,0,6554.385679282542,17930.785244262042,15840.0,25402321,2.144,232103101.0,2.0004699872039144,1-2
738,13206,0,6688.037867766653,17938.587295050766,15900.0,232103101,2.144,308803101.0,3.3408943210119415,1-2
739,13256,0,6821.33332060022,17949.157478209487,15960.0,308803101,2.144,308803101.0,4.534004584038991,1-2
740,13305,0,6953.538133267748,17971.01811652459,16020.0,308803101,2.144,310203103.0,9.389147561330718,1-2
741,13355,0,7086.031495641021,17990.120639693105,16080.0,310203103,2.144,310203103.0,8.204210138813373,1-2
742,13405,0,7219.886037641449,17996.362561340793,16140.0,310203103,2.144,305103103.0,2.6698897620076063,1-2
743,13455,0,7353.5514036658,18005.65010896036,16200.0,305103103,2.144,305103105.0,3.9747272474817965,1-2
744,13505,0,7486.936715152731,18012.43240767961,16260.0,305103105,2.144,281203105.0,2.9108355748447288,1-2
745,13555,0,7618.443570055438,17986.730306354275,16320.0,281203105,2.144,305803106.0,-11.058662173383324,1-2
746,13604,0,7748.787374771101,17958.736363036136,16380.0,305803106,2.144,305803108.0,-12.121285626694005,1-2
747,13654,0,7855.274426243332,17880.560640107567,16440.0,305803108,2.144,308903109.0,-36.28364351572445,1-2
748,13704,0,7939.365841023944,17776.239852138733,16500.0,308903109,2.144,311003111.0,-51.12823609228199,1-2
749,13754,0,8043.115397342646,17693.19845695665,16560.0,311003111,2.144,311103112.0,-38.67386436212771,1-2
750,13804,0,8173.222116632321,17718.630349154366,16620.0,311103112,2.144,311103112.0,11.060120324467142,1-2
751,13853,0,8303.63418740715,17749.431189990635,16680.0,311103112,2.144,311103112.0,13.288654134763362,1-2
752,13903,0,8434.04625818198,17780.2320308269,16740.0,311103112,2.144,311303114.0,13.28865413476176,1-2
